Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
968.0,46110.0,91888.0,462222.0,924115.0
926.0,46105.0,92906.0,463173.0,923303.0
932.0,45914.0,92458.0,462724.0,924782.0
957.0,46086.0,92113.0,460776.0,923906.0
949.0,46109.0,92345.0,462202.0,923471.0
983.0,46202.0,93009.0,462188.0,923281.0
908.0,46296.0,92155.0,461973.0,923923.0
941.0,46603.0,92465.0,461742.0,923276.0
907.0,45949.0,92024.0,462201.0,925717.0
874.0,46288.0,92200.0,461325.0,921463.0
906.0,46111.0,91947.0,463461.0,923935.0
906.0,46222.0,92434.0,460897.0,924588.0
948.0,46392.0,92927.0,463086.0,923361.0
941.0,46107.0,92131.0,462412.0,923878.0
939.0,45980.0,91979.0,460809.0,922311.0
945.0,46437.0,92513.0,462352.0,923541.0
884.0,46141.0,92043.0,461298.0,922197.0
888.0,46361.0,92199.0,462305.0,922558.0
961.0,45853.0,92280.0,462250.0,924143.0
928.0,46548.0,92656.0,461080.0,921411.0
968.0,46138.0,92157.0,460508.0,923045.0
892.0,46238.0,92384.0,461944.0,921157.0
929.0,45407.0,92328.0,460042.0,922595.0
913.0,46203.0,93080.0,460907.0,923777.0
917.0,45978.0,92320.0,460850.0,922150.0
878.0,45847.0,92056.0,461203.0,923245.0
918.0,46608.0,91963.0,460920.0,920759.0
958.0,46142.0,91800.0,460890.0,920451.0
936.0,46455.0,92093.0,460395.0,919757.0
893.0,45973.0,92125.0,460453.0,922261.0
903.0,46101.0,92076.0,459569.0,920134.0
898.0,45974.0,92086.0,461066.0,920260.0
860.0,45870.0,92024.0,459471.0,918966.0
920.0,45490.0,91608.0,460229.0,920265.0
946.0,45574.0,92317.0,460054.0,920278.0
929.0,45867.0,91887.0,458556.0,918304.0
926.0,45662.0,91337.0,459463.0,917885.0
918.0,45895.0,91904.0,458874.0,918318.0
927.0,46134.0,92108.0,458830.0,916630.0
926.0,46048.0,92230.0,458804.0,916949.0
939.0,45998.0,91600.0,457904.0,917943.0
921.0,45681.0,91082.0,457329.0,915203.0
931.0,46134.0,91930.0,458011.0,915119.0
936.0,45645.0,91856.0,456899.0,915733.0
926.0,45876.0,91631.0,458106.0,914543.0
864.0,45406.0,91574.0,457632.0,914450.0
930.0,45825.0,91096.0,456884.0,914074.0
992.0,45754.0,91196.0,457088.0,914080.0
897.0,45656.0,90983.0,455367.0,912791.0
948.0,45446.0,91226.0,456115.0,912498.0
898.0,45484.0,91104.0,456427.0,910815.0
942.0,45797.0,90989.0,455250.0,910926.0
906.0,45175.0,90811.0,456389.0,910226.0
956.0,45481.0,90907.0,455497.0,911077.0
947.0,45482.0,90778.0,455279.0,908769.0
881.0,45223.0,90700.0,454128.0,908417.0
935.0,45588.0,90809.0,453326.0,906477.0
909.0,45238.0,90702.0,454641.0,907148.0
928.0,45673.0,90621.0,454164.0,908584.0
915.0,45043.0,90400.0,453517.0,906332.0
